No	Country	river	coast	land	total
1	Sudan	29.4	0.0	0.0	29.4
2	Algeria	27.0	30.5	42.4	100.0
3	Bahrain	0.0	19.0	0.0	19.0
4	Gaza 	0.0	0.0	0.0	0.0
5	Iraq	0.0	0.0	0.0	0.0
6	Israel	21.1	367.5	131.4	520.0
7	Jordan	10.4	3.2	116.5	130.0
8	Kuwait	0.0	261.0	0.0	261.0
9	Lebanon	0.0	0.0	2.0	2.0
10	Libyan	0.0	40.2	0.0	40.2
11	Morocco	5.5	29.0	25.5	60.0
12	Oman	0.0	66.9	0.4	67.3
13	Qatar	0.0	74.9	61.8	136.7
14	SaudiArabia	52.0	84.6	100.1	236.7
15	Syria	0.0	0.0	0.0	0.0
16	Tunisia	7.2	50.5	2.3	60.0
17	UAE	1.1	406.7	132.1	540.0
18	WestBank	0.2	0.0	0.8	1.0
19	Yemen	0.0	0.0	6.0	6.0
20	Egypt	1658.5	400.4	141.1	2200.0
21	Mauritania	0.0	0.0	0.0	0.0
